Date,Hour,Condi,Temp,Sunsine,Dew,preci,Snow,wdirect,wspeed,Gust,Pressure,Humidity
2024-05-03,13,,37 °C,—,23.1 °C,0 mm,—,,14.8 km/h,—,1006 hPa,45 %
2024-05-03,14,,38 °C,—,24 °C,0 mm,—,,14.8 km/h,—,1006 hPa,45 %
2024-05-03,15,,37 °C,—,23.1 °C,0 mm,—,,13 km/h,—,1005 hPa,45 %
2024-05-03,16,,35 °C,—,24 °C,0 mm,—,,14.8 km/h,—,1005 hPa,53 %
2024-05-03,17,,34 °C,—,25.1 °C,0 mm,—,,14.8 km/h,—,1005 hPa,60 %
2024-05-03,18,,33 °C,—,26.1 °C,0 mm,—,,16.6 km/h,—,1007 hPa,67 %
2024-05-03,19,,32 °C,—,26.1 °C,0 mm,—,,16.6 km/h,—,1008 hPa,71 %
2024-05-03,20,,31 °C,—,26.9 °C,0 mm,—,,18.4 km/h,—,1008 hPa,79 %
2024-05-03,21,,31 °C,—,26.9 °C,0 mm,—,,16.6 km/h,—,1009 hPa,79 %
2024-05-03,22,,31 °C,—,26 °C,0 mm,—,,14.8 km/h,—,1010 hPa,75 %
2024-05-03,23,,31 °C,—,26.9 °C,0 mm,—,,11.2 km/h,—,1009 hPa,79 %
2024-05-04,00,,31 °C,—,26 °C,0 mm,—,,13 km/h,—,1009 hPa,75 %
2024-05-04,01,,31 °C,—,26 °C,0 mm,—,,14.8 km/h,—,1008 hPa,75 %
2024-05-04,02,,31 °C,—,26 °C,0 mm,—,,9.4 km/h,—,1008 hPa,75 %
2024-05-04,03,,30 °C,—,27 °C,0.1 mm,—,,5.4 km/h,—,1008 hPa,84 %
2024-05-04,04,,30 °C,—,27 °C,0 mm,—,,7.6 km/h,—,1008 hPa,84 %
2024-05-04,05,,30 °C,—,27 °C,0 mm,—,,7.6 km/h,—,1009 hPa,84 %
2024-05-04,06,,29 °C,—,27 °C,0 mm,—,,16.6 km/h,—,1009 hPa,89 %
2024-05-04,07,,29 °C,—,27.9 °C,0 mm,—,,1.8 km/h,—,1009 hPa,94 %
2024-05-04,08,,31 °C,—,28 °C,0 mm,—,,3.6 km/h,—,1009 hPa,84 %
2024-05-04,09,,33 °C,—,25 °C,0 mm,—,,14.8 km/h,—,1009 hPa,63 %
2024-05-04,10,,35 °C,—,24 °C,0 mm,—,,7.6 km/h,—,1009 hPa,53 %
2024-05-04,11,,35 °C,—,23 °C,0 mm,—,,11.2 km/h,—,1009 hPa,50 %
2024-05-04,12,,34 °C,—,23.1 °C,0 mm,—,,3.6 km/h,—,1008 hPa,53 %
2024-05-04,13,,35 °C,—,23 °C,2.5 mm,—,,11.2 km/h,—,1006 hPa,50 %
2024-05-04,14,,37 °C,—,23.1 °C,0.7 mm,—,,9.4 km/h,—,1006 hPa,45 %
2024-05-04,15,,36 °C,—,22.9 °C,0.9 mm,—,,18.4 km/h,—,1005 hPa,47 %
2024-05-04,16,,35 °C,—,23 °C,0.6 mm,—,,13 km/h,—,1005 hPa,50 %
2024-05-04,17,,34 °C,—,24 °C,0 mm,—,,14.8 km/h,—,1005 hPa,56 %
2024-05-04,18,,33 °C,—,23.9 °C,0 mm,—,,16.6 km/h,—,1007 hPa,59 %
2024-05-04,19,,32 °C,—,26.1 °C,0 mm,—,,7.6 km/h,—,1008 hPa,71 %
2024-05-04,20,,30 °C,—,23.9 °C,0 mm,—,,13 km/h,—,1007 hPa,70 %
2024-05-04,21,,29 °C,—,26 °C,0 mm,—,,7.6 km/h,—,1008 hPa,84 %
2024-05-04,22,,29 °C,—,27 °C,0 mm,—,,3.6 km/h,—,1009 hPa,89 %
2024-05-04,23,,29 °C,—,26 °C,0 mm,—,,5.4 km/h,—,1008 hPa,84 %
2024-05-05,00,,30 °C,—,26 °C,0 mm,—,,3.6 km/h,—,1007 hPa,79 %
2024-05-05,01,,29 °C,—,26 °C,0 mm,—,,3.6 km/h,—,1007 hPa,84 %
